Properties,,Domains,Ranges,"label xml:lang=""en""","label xml:lang=""zh""","definition xml:lang=""zh""","comment xml:lang=""zh""",URI,isDefinedBy,versionInfo,seeAlso,equivalentProperty,characteristics
abstract,,Collection or Document,xsd:string,abstract,摘要,资源内容的摘要信息,以提供文献内容梗概为目的，不加评论和补充解释，简明、确切地记述文献重要内容的短文。其基本要素包括研究目的、方法、结果和结论。,pubo:abstract,pubo,1,,,
attachmentInfo,,DocumentProduct,xsd:string,attachmentInfo,附件信息,附件的相关信息描述,附件的类型和数量说明，如三个光盘,pubo:attachmentInfo,pubo,1,,,
attachmentNumber,,DocumentProduct,xsd:integer,attachmentNumber,附件数量,附件的数量信息,附件的数量说明，如3,pubo:attachmentNumber,pubo,1,,,
attachmentType,,AnnexedMatter,xsd:string,attachmentType,附件类型 ,附件的类型信息,附件信息的类型说明，如磁带 光盘,pubo:attachmentType,pubo,1,,,
accessPath,,ReferencesItem,xsd:string,accessPath,获取路径,参考文献的获取路径,指电子版参考文献的获取路径。,pubo:accessPath,pubo,1,,,
address,,Agent,xsd:string,address,地址,代理者的通讯地址,团体总部或办公室的通信地址、个人居住地、办公地、就职地的通信地址。,pubo:address,pubo,1,,,
capacity,,OpticalDisk,xsd:string,capacity,光盘容量,光盘的可存储的数据量,光盘容量，如“15MB”、“300”，默认单位：byte。,pubo:capacity,pubo,1,,,
coverage,,Collection or Document,xsd:string,coverage,范围,资源内容覆盖范围,资源内容的年代或地理覆盖的范围。,pubo:coverage,pubo ,1,,,
date,,Thing,xsd:date,date,日期,与资源本身生命周期中的一个事件相关的日期,包含多个子属性，如作者的生年、卒年，机构团体的创办时间、文档的创建时间和修改时间等。,pubo:date,pubo,1,,,
,copyrightDate,Document,xsd:date,copyrightDate,版权年,资源完成的年份,建议格式为YYYY，如“1998”。,pubo:copyrightDate,pubo,1,,,
,created,Collection or Document,xsd:date,created,创建日期,资源创作的年份,建议格式为YYYY-MM-DD，如“2013-01-01”。,pubo:created,pubo,1,,,
,dateOfBirth,Person,xsd:date,dateOfBirth,生年,人出生的年份,建议格式为YYYY，如“1956”。,pubo:dateOfBirth,pubo,1,,,
,dateOfDeath,Person,xsd:date,dateOfDeath,卒年,人死亡的年份,建议格式为YYYY，如“1956”。,pubo:dateOfDeath,pubo,1,,,
,firstPublicationDate,DocumentProduct,xsd:date,firstPublicationDate,首版年月,资源第一次出版的年月,建议格式为YYYY-MM，如“2013-01”。,pubo:firstPublicationDate,pubo,1,,,
