Properties,,Domains,Ranges,"label xml:lang=""en""","label xml:lang=""zh""","definition xml:lang=""zh""","comment xml:lang=""zh""",URI,isDefinedBy,versionInfo,seeAlso,equivalentProperty,inverseOf,characteristics
hasComponent,,Document,DocumentComponent,hasComponent,包含构件,文档包含的文档构件,关联文档及文档构件。,pubo:hasComponent,pubo,1,,,isComponentOf,
isComponentOf,,DocumentComponent,Document,isComponentOf,是构件,是某文档的文档构件,关联文档构件和包含它的文档。,pubo:isComponentOf,pubo,1,,,hasComponent,
associatedMedia,,Document,MediaDocument,associatedMedia,媒体文件,文档的媒体文件,关联文档与其媒体文件。,pubo:associatedMedia,pubo,1,http://schema.org/associatedMediaObject,,isAssociatedMediaOf,
,hasFontImage,Font,Image,hasFontImage,字体文件,字体或偏僻字的图像文件,关联字体或偏僻字和其图片文件。,pubo:hasFontImage,pubo,1,,,,
contains,,DocumentContainer,Document,contains,包含,容器包含的文档,容器类专有属性，关联容器类个体与文档个体。,pubo:contains,pubo,1,,,isContainedBy,
contact,,Agent,Person,contact,联系人,机构或团体的联系人,关联机构或团体和其联系人。,pubo:contact,pubo,1,,,,
contentSection,,Document,ContentSection,contentSection,内容,文档包含的内容单元,关联文档，如单页文档、篇章节文档，与其内容单元。,pubo:contentSection,pubo,1,,,isContentSectionOf,
contributor,,Collection or Document,Agent,contributor,其他责任者,对资源内容创建作出贡献的其他个人、机构或团体,通过内容表达对作品的实现做出贡献的个人、机构或团体，包括编者、译者、音乐配器者、表演者等。,pubo:contributor,pubo,2,dcterms:contributor,,,
,editor,Collection or Document,Agent,editor,编者,编纂资源内容的责任者,可以是个人、机构或团体。,pubo:editor,pubo,1,,bibo:editor,,
,translator,Collection or Document,Agent,translator,译者,翻译资源内容的责任者,可以是个人、机构或团体。,pubo:translator,pubo,1,,bibo:translator,,
copyrightOwner,,Document,Agent,copyrightOwner,版权持有者,对出版物拥有合法版权的代理者,版权持有者可以是个人、机构或团体。,pubo:copyrightOwner,pubo,1,http://schema.org/copyrightHolder,,,
