Classes,,,,"label xml:lang=""zh""","label xml:lang=""en""","definition xml:lang=""zh""","comment xml:lang=""zh""",,URI,versionInfo,isDefinedBy,disjointWith,equivalentClass
Document,,,,文档,Document,一种图书馆信息学的基本理论结构,包含内容、版式、素材文档资源的单个文档。,,pubo:Document,1,pubo,Collection Agent Enumeration ,foaf:Document
,MediaDocument,,,媒体文档,MediaDocument,用计算机文件格式表示的各种资源,媒体文档的文件格式包括：mp3、mp4、pdf、doc、ceb、indd、psd等。,,pubo:MediaDocument,1,pubo,DocumentProduct MetadataDocument ContentSection DocumentComponent DesignDocument,
,,TextDocument,,文本文档,TextDocument,内容为文本格式的文档,出版物中包含的文本文件。,,pubo:TextDocument,1,pubo,,
,,,LayoutTextDocument,版式文本文档,LayoutTextDocument,作为出版物版式文件的文档,出版物中包含的版式文本文件。,,pubo:LayoutTextDocument,1,pubo,,
,,Audio,,音频,Audio,存储录音的媒介。,需与播放设备配合使用，如唱机、录音机、CD播放器或MP3播放器，包括存储数码与模拟声音的媒介。,需与播放设备配合使用，如唱机、录音机、CD播放器或MP3播放器，包括存储数码与模拟声音的媒介。,pubo:Audio,1,pubo,,
,,,Pronunciation,发音文档,Pronunciation,一种内容为音频格式的文档,出版物中包含的发音词汇文件。,出版物中包含的发音词汇文件,pubo:Pronunciation,1,pubo,,
,,Video,,视频,Video,用于存储动态或静态图像的媒介,与录像带播放机或DVD播放机等播放设备配合使用，包括用于存储数码或模拟图像的媒介。,与录像带播放机或DVD播放机等播放设备配合使用，包括用于存储数码或模拟图像的媒介。,pubo:Video,1,pubo,,
,,Graphics,,图形,Graphics,一种非文本的可视化表现形式,包括动态图像、矢量图等。,,pubo:Graphics,1,pubo,,
,,Image,,图像,Image,一种非文本的可视化表现形式，指以线条、形状、阴影等表达的，旨在通过视觉感知的二维内容。,包括绘图、绘画、线图、摄影图像（静态）等。,,pubo:Image,1,pubo,,foaf:Image
,,,FontImage,字符贴图,FontImage,内容为字符的图像,文本文件中包含的字符贴图文件。,,pubo:FontImage,1,pubo,,
,,Animation,,动画,Animation,一些列静止的图像，以一定的速度连续播放时，给人以动态感知的可视化表现形式。,包括电影（采用真人表演和/或动画模拟），演出、活动等的摄影或录像，视频游戏等。,,pubo:Animation,1,pubo,,
,,DiskImage,,光盘映像,DiskImage,光盘的内容文件,包含光存储数字编码数据的盘片。,,pubo:DiskImage,1,pubo,,
,DocumentProduct,,,文档产品,DocumentProduct,可用于印刷或在线服务的出版物产品,包括普通图书、图书章节、图片、期等。,可以用于印刷或在线服务的出版物产品，包括普通图书、图书章节、图片、期等。,pubo:DocumentProduct,1,pubo,MediaDocument MetadataDocument ContentSection DocumentComponent DesignDocument,
