Classes,Individuals,"label lang=""zh""",URI,"comment lang=""zh""",URI1
MetadataType,cnonix ,中文ONIX,MetadataType/cnonix ,遵循中国出版物在线信息交换（CNONIX）图书产品信息格式 （国家标准CY/T 95.1-2013） ,http://www.xxx.org.cn/standards/publishing/ontology/cores/MetaDataType/cnonix
,ruleOnIEB,图书流通元数据,MetadataType/ruleOnIEB,遵循图书流通信息交换规则（行业标准CY/T39-2006）,http://www.xxx.org.cn/standards/publishing/ontology/cores/MetaDataType/ruleOnIEB
,21-Mar,Marc21元数据,MetadataType/marc21,机读编目格式标准,http://www.xxx.org.cn/standards/publishing/ontology/cores/MetaDataType/marc21
,dc,DC元数据,MetadataType/dc,遵循都柏林核心元数据元素集标准（GB / T 25100-2010）,http://www.xxx.org.cn/standards/publishing/ontology/cores/MetaDataType/dc
,mets,METS元数据,MetadataType/mets,遵循美国图书馆联盟馆制定的元数据编码和传输标准（Metadata Encoding and Transmission Standard）,http://www.xxx.org.cn/standards/publishing/ontology/cores/MetaDataType/mets
,cnmarc,中文Marc,MetadataType/cnmarc,遵循中国机读目录格式标准（行业标准WH/T 0503—1996）,http://www.xxx.org.cn/standards/publishing/ontology/cores/MetaDataType/cnmarc
DocumentStatus,accepted,收录,DocumentStatus/accepted,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocumentStatus/accepted
,draft,草稿,DocumentStatus/draft,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocumentStatus/draft
,forthcoming,即将出版,DocumentStatus/forthcoming,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocumentStatus/forthcoming
,nonPeerReviewed,未审核,DocumentStatus/nonPeerReviewed,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocumentStatus/nonPeerReviewed
,peerReviewed,审核,DocumentStatus/peerReviewed,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocumentStatus/peerReviewed
,published,已出版,DocumentStatus/published,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocumentStatus/published
,rejected,拒绝,DocumentStatus/rejected,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocumentStatus/rejected
,unpublished,未出版,DocumentStatus/unpublished,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocumentStatus/unpublished
AncillaryDocType,foreword,前言，卷首语,AncillaryDocType/foreword,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/foreword
,introduction,内容简介,AncillaryDocType/introduction,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/introduction
,dedication,献辞,AncillaryDocType/dedication,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/dedication
,editorialBoard,编辑委员会,AncillaryDocType/editorialBoard,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/editorialBoard
,preface,绪言；绪论,AncillaryDocType/preface,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/preface
,acknowledgement,致谢,AncillaryDocType/acknowledgement,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/acknowledgement
,editorialBoardMember,编委,AncillaryDocType/editorialBoardMember,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/editorialBoardMember
,afterword,跋（后记）,AncillaryDocType/afterword,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/afterword
,appendix,附录,AncillaryDocType/appendix,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/appendix
,index,索引,AncillaryDocType/index,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/index
,abbreviation,缩略词表,AncillaryDocType/abbreviation,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/abbreviation
,symbolList,符号表,AncillaryDocType/symbolList,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/symbolList
,loi,插图列表,AncillaryDocType/loi,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/loi
,lot,图表列表,AncillaryDocType/lot,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/lot
,nav,导航,AncillaryDocType/nav,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/nav
,editionRecord,版本记录,AncillaryDocType/editionRecord,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/editionRecord
,copyright,版权说明,AncillaryDocType/copyright,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/copyright
,explanatoryNotes,凡例,AncillaryDocType/explanatoryNotes,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/explanatoryNotes
,errata,勘误表,AncillaryDocType/errata,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/errata
,authorIntroduction,作者简介,AncillaryDocType/authorIntroduction,,http://www.xxx.org.cn/standards/publishing/ontology/cores/AncillaryDocType/authorIntroduction
BookCoverType,frontCover,封一,BookCoverType/frontCover,,http://www.xxx.org.cn/standards/publishing/ontology/cores/BookCoverType/frontCover
,backCover,封四,BookCoverType/backCover,,http://www.xxx.org.cn/standards/publishing/ontology/cores/BookCoverType/backCover
,spine,书脊,BookCoverType/spine,,http://www.xxx.org.cn/standards/publishing/ontology/cores/BookCoverType/spine
,insideFrontPage,封二,BookCoverType/insideFrontPage,,http://www.xxx.org.cn/standards/publishing/ontology/cores/BookCoverType/insideFrontPage
,insideBackCover,封三,BookCoverType/insideBackCover,,http://www.xxx.org.cn/standards/publishing/ontology/cores/BookCoverType/insideBackCover
,flap,勒口,BookCoverType/flap,,http://www.xxx.org.cn/standards/publishing/ontology/cores/BookCoverType/flap
PackagingType,packet,套盒,PackagingType/packet,,http://www.xxx.org.cn/standards/publishing/ontology/cores/PackagingType/packet
,bookJacket,护封；包封,PackagingType/bookJacket,,http://www.xxx.org.cn/standards/publishing/ontology/cores/PackagingType/bookJacket
,endPaper,环衬,PackagingType/endPaper,,http://www.xxx.org.cn/standards/publishing/ontology/cores/PackagingType/endPaper
,outerPacking,外包装,PackagingType/outerPacking,,http://www.xxx.org.cn/standards/publishing/ontology/cores/PackagingType/outerPacking
,beltCover,腰封,PackagingType/beltCover,,http://www.xxx.org.cn/standards/publishing/ontology/cores/PackagingType/beltCover
,slipCover,封套,PackagingType/slipCover,,http://www.xxx.org.cn/standards/publishing/ontology/cores/PackagingType/slipCover
DocPageType,titlePage,扉页,DocPageType/titlePage,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocPageType/titlePage
,editionRecordingPage,版权记录页,DocPageType/editionRecordingPage,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocPageType/editionRecordingPage
,flyreaf,衬页,DocPageType/flyreaf,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocPageType/flyreaf
,interleaf,插页,DocPageType/interleaf,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocPageType/interleaf
,halftitlePage,附书名页,DocPageType/halftitlePage,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocPageType/halftitlePage
,cryPage,口号页,DocPageType/cryPage,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocPageType/cryPage
,otherPage,其他,DocPageType/otherPage,,http://www.xxx.org.cn/standards/publishing/ontology/cores/DocPageType/otherPage
ReferencesType,monographs,普通图书(M),ReferencesType/monographs,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/monographs
,conference,会议录(C),ReferencesType/conference,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/conference
,gathering,汇编(G),ReferencesType/gathering,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/gathering
,newspaper,报纸(N),ReferencesType/newspaper,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/newspaper
,journal,期刊(J),ReferencesType/journal,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/journal
,dissertation,学位论文(D),ReferencesType/dissertation,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/dissertation
,report,报告(R),ReferencesType/report,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/report
,standard,标准(S),ReferencesType/standard,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/standard
,patent,专利(P),ReferencesType/patent,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/patent
,database,数据库(DB),ReferencesType/database,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/database
,computerProgram,计算机程序(CP),ReferencesType/computerProgram,,http://www.xxx.org.cn/standards/publishing/ontology/cores/ReferencesType/computerProgram
